Qty,Value,Device,Package,Got,
2,,LEDCHIPLED_0805,CHIPLED_0805,x,
1,,MMBT2907ALT1-PNP-SOT23-BEC,SOT23-BEC,x,
3,,PINHD-1X2,1X02,o,
1,,PINHD-1X2/90,1X02/90,o,
1,,PINHD-1X3,1X03,o,
1,,PINHD-1X3/90,1X03/90,o,
1,,PINHD-1X5,1X05,o,
1,,PINHD-2X3,2X03,o,
1,,PINHD-2X4,2X04,o,
3,,SMACONNECTOR,SMA90_DIP,x,
4,,TEST-POINT2,PAD.02X.02,x,
1,,USBMINIB,USB-MINIB,x,
1,.01uF,C-EUC0805,C0805,x,
2,0.1uF,C-EUC0805,C0805,x,
3,0R,R-US_R0805,R0805,x,
1,1.5R,R-US_R2512,R2512,x,
5,100K,R-US_R0805,R0805,x,
1,100R,R-US_R0805,R0805,x,
2,100R,R-US_R2512,R2512,x,
22,100nF,C-EUC0805,C0805,x,
1,100uH,CD54,CD54,o,
38,10K,R-US_R0805,R0805,x,
3,10nF,C-EUC0805,C0805,x,
16,10uF,C-EUC0805,C0805,x,
1,11K,R-US_R0805,R0805,x,
8,1K,R-US_R0805,R0805,x,
2,1N4001,MBRA340T3,SMA,x,
6,1uF,C-EUC0805,C0805,x,
2,220uF,CP_SV-D,CSV-D,x,
1,22uF,C-EUC0805,C0805,x,
2,22uF,CP_SV-C,CSV-C,x,
1,240R,R-US_R0805,R0805,x,
1,28.7K,R-US_R0805,R0805,x,
3,2K,R-US_R0805,R0805,x,
1,2N7002,SMD-MOSFET-N-CH-60V-300MA-LOGIC-LEVEL-FET-2N7002(SOT-23),SOT-23,x,
1,32.768Khz_SMD,CRISTALLI_0213_ABS07-32.768KHZ-T,EPSON_FC_145,x,
2,330R,R-US_R0805,R0805,x,
1,33nF,C-EUC0805,C0805,x,
1,3A/40V/500mV,DIODE-SCHOTTKY-B340A,SMA-DIODE,x,
2,3K,R-US_R0805,R0805,x,
2,47uF,CP_3528-21R,C3528-21R/T,x,
1,50K,R-US_R0805,R0805,x,
1,50R,R-US_R0805,R0805,x,
1,50R or 0R,R-US_R0805,R0805,x,
1,5K,R-TRIMM3296W,RTRIM3296W,x,
1,7.5K,R-US_R0805,R0805,x,
1,74LVC1G125DCKR,SN74LVC1G125DCKR,SC70-5,x,
1,AD5541,AD5541,SOIC-8,x,
2,AD8676,AD8676,SO8,x,
1,ATSAMD21G-A,ATSAMD21G-A,TQFP-48,,<<
2,BRNCG0603MLC-05E,BRNCG0603MLC-05E,CT/CN0603,x,
2,CD54,CD54,CD54,x,
1,ENBL,PINHD-1X2,1X02,o,
1,EN_LED,PINHD-1X2,1X02,o,
1,IRF9Z14,IRF9530,TO220BV,x,
1,L7912,L7912,TO223-3,x,
1,LM1117IMP-3.3,LM1117IMP-3.3,SOT230P696X180-4N,x,
1,LM1117IMP-5.0,LM1117IMP-5.0,SOT230P696X180-4N,x,
1,LM317MDT,LM317MDT,DPACK,x,
1,LM340S-12,LM340S-12,TO263-3,x,
1,LM399H,LM399H,TO39/4,x,
1,MF-MSMF050-2 500mA,MF-MSMF050-2,L1812,x,
1,MH2029-300Y,BLM21PG300SN1D_/_MH2029-300Y,805,x,
1,MOM SWITCH,MOMENTARY-SWITCH-SPST-SMD-5.2MM,SWITCH_SMD_5.2MM,x,
1,OPA2227D,OPA2227D,SO08,,<<
1,PMV48XP,TRANSISTORS_0297_PMV48XP,TRANSISTORS_SOT-23,x,
1,SSM3J328R.LF,SMD-MOSFET-P-CH-20V-6A-SSM3J328R(SOT-23),SOT-23,x,
1,TL071D,TL071D,SO08,x,
1,TS514AID,TS514AID,SOIC127P600X175-14N,x,
